Date,Hits
2013-03-31,0
2013-04-2,3
2013-04-3,1
2013-04-5,0
2013-04-6,1
2013-04-7,0
2013-04-8,2
2013-04-9,1
2013-04-10,0
2013-04-11,1
2013-04-12,1
2013-04-13,1
2013-04-14,0
2013-04-16,2
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,1
2013-04-22,3
2013-04-23,1
2013-04-24,2
2013-04-25,1
2013-04-26,2
2013-04-28,1
2013-04-30,2
2013-05-1,1
2013-05-2,0
2013-05-3,2
2013-05-4,1
2013-05-5,1
2013-05-6,1
2013-05-7,2
2013-05-8,3
2013-05-10,0
2013-05-11,1
2013-05-12,3
2013-05-13,1
2013-05-14,2
2013-05-15,0
2013-05-16,1
2013-05-17,0
2013-05-18,5
2013-05-19,1
2013-05-20,0
2013-05-21,0
2013-05-22,1
2013-05-24,1
2013-05-25,0
2013-05-26,1
2013-05-27,2
2013-05-27,1
2013-05-30,1
2013-05-31,0
2013-06-1,0
2013-06-2,1
2013-06-4,0
2013-06-5,2
2013-06-6,1
2013-06-7,0
2013-06-8,1
2013-06-9,0
2013-06-10,2
2013-06-11,1
2013-06-13,1
2013-06-14,0
2013-06-15,0
2013-06-16,1
2013-06-17,0
2013-06-19,0
2013-06-20,1
2013-06-21,1
2013-06-22,1
2013-06-23,0
2013-06-25,2
2013-06-26,2
2013-06-27,0
2013-06-28,1
2013-06-29,1
2013-06-30,1
2013-07-2,2
2013-07-3,0
2013-07-4,1
2013-07-5,1
2013-07-6,1
2013-07-7,1
2013-07-8,2
2013-07-9,2
2013-07-10,0
2013-07-11,0
2013-07-12,1
2013-07-13,0
2013-07-14,0
2013-07-19,2
2013-07-20,1
2013-07-21,1
2013-07-22,1
2013-07-23,1
2013-07-24,1
2013-07-25,2
2013-07-26,1
2013-07-27,1
2013-07-28,1
2013-07-29,1
2013-07-30,2
2013-07-31,1
2013-08-1,1
2013-08-2,2
2013-08-3,1
2013-08-4,0
2013-08-5,1
2013-08-6,3
2013-08-7,3
2013-08-9,1
2013-08-10,1
2013-08-11,0
2013-08-12,0
2013-08-13,0
2013-08-14,2
2013-08-16,0
2013-08-17,1
2013-08-18,1
2013-08-19,2
2013-08-20,1
2013-08-21,0
2013-08-23,1
2013-08-24,2
2013-08-25,2
2013-08-26,3
2013-08-27,1
2013-08-28,3
2013-08-30,0
2013-08-31,1
2013-09-6,2
2013-09-7,2
2013-09-8,2
2013-09-9,0
2013-09-10,2
2013-09-11,2
2013-09-13,1
2013-09-14,1
2013-09-15,1
2013-09-16,0
2013-09-17,2
2013-09-18,2
2013-09-19,2
2013-09-20,0
2013-09-21,0
2013-09-22,2
2013-09-23,3
2013-09-24,0
2013-09-25,1
2013-09-26,1
2013-09-27,2
2013-09-28,1
2013-09-29,0
2013-09-30,1
